id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
1,11 Aug 19:45,1,1,2017-08-11T17:45:00Z,11 Aug 18:45,3,4,918893,2017-08-11T18:45:00Z,4,3,1,90,0,1,1,9,1
2,12 Aug 17:30,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,5,2,918894,2017-08-12T16:30:00Z,0,2,1,90,0,1,1,11,3
3,12 Aug 15:00,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,3,4,918895,2017-08-12T14:00:00Z,2,3,1,90,0,1,1,4,5
4,12 Aug 15:00,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,2,3,918896,2017-08-12T14:00:00Z,0,3,1,90,0,1,1,8,6
5,12 Aug 15:00,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,2,3,918897,2017-08-12T14:00:00Z,1,0,1,90,0,1,1,15,7
6,12 Aug 15:00,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,2,2,918900,2017-08-12T14:00:00Z,0,0,1,90,0,1,1,16,14
7,12 Aug 12:30,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,4,3,918901,2017-08-12T11:30:00Z,3,3,1,90,0,1,1,10,18
8,12 Aug 15:00,1,2,2017-08-11T17:45:00Z,11 Aug 18:45,3,2,918902,2017-08-12T14:00:00Z,1,0,1,90,0,1,1,2,19
9,13 Aug 16:00,1,3,2017-08-11T17:45:00Z,11 Aug 18:45,2,4,918898,2017-08-13T15:00:00Z,4,0,1,90,0,1,1,20,12
10,13 Aug 13:30,1,3,2017-08-11T17:45:00Z,11 Aug 18:45,4,3,918899,2017-08-13T12:30:00Z,0,2,1,90,0,1,1,17,13
11,19 Aug 15:00,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,2,3,918903,2017-08-19T14:00:00Z,0,2,1,90,0,1,2,18,2
12,19 Aug 15:00,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,2,3,918904,2017-08-19T14:00:00Z,0,1,1,90,0,1,2,19,4
13,19 Aug 15:00,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,2,3,918906,2017-08-19T14:00:00Z,2,0,1,90,0,1,2,3,9
14,19 Aug 15:00,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,2,4,918907,2017-08-19T14:00:00Z,1,0,1,90,0,1,2,6,10
15,19 Aug 15:00,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,2,2,919210,2017-08-19T14:00:00Z,3,2,1,90,0,1,2,20,14
16,19 Aug 17:30,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,4,2,918909,2017-08-19T16:30:00Z,1,0,1,90,0,1,2,1,15
17,19 Aug 12:30,1,1,2017-08-19T10:30:00Z,19 Aug 11:30,4,3,918910,2017-08-19T11:30:00Z,0,4,1,90,0,1,2,12,16
