id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,news_added,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
1,48844.jpg,Ospina,3,a,48844,David,Ospina,13,,48,2018-04-29T20:01:18Z,100,100,0.5,4.0,-2,0,2,0,0,0,0.2,2.3,10172,3948,0,0,0,0,0,0,19,8,3.8,3.3,1.8,0,380,0,0,2,3,0,0,0,0,0,9,1,86,75.8,0.0,0.0,7.7,0,1,1
2,11334.jpg,Cech,3,a,11334,Petr,Cech,1,,53,2018-04-22T12:01:20Z,100,100,0.4,23.4,-2,0,2,0,0,1,4.5,2.3,294471,183262,0,0,0,0,0,0,124,0,3.6,3.3,3.0,0,3039,0,0,11,48,0,1,0,1,0,90,7,627,722.4,0.0,0.0,71.9,0,1,1
3,98980.jpg,Martinez,3,u,98980,Damian Emiliano,Martinez,26,Season-long loan to Getafe,40,2017-08-03T08:35:02Z,0,0,0.0,0.0,0,0,0,0,0,0,0.6,0.0,29335,1506,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
4,51507.jpg,Koscielny,3,i,51507,Laurent,Koscielny,6,Achilles injury - Unknown return date,60,2018-05-03T21:31:18Z,0,0,0.0,16.7,0,0,0,0,0,3,1.5,0.0,199153,205878,0,0,0,0,0,0,100,0,4.0,0.0,0.0,0,2225,2,0,9,32,0,0,0,4,0,0,16,556,692.0,123.8,137.0,95.5,0,2,1
5,17127.jpg,Mertesacker,3,a,17127,Per,Mertesacker,4,,47,2017-11-18T12:31:16Z,100,100,0.1,3.4,-3,0,3,0,0,1,0.5,0.3,46441,31711,0,0,0,0,0,0,16,0,2.7,1.3,1.2,0,364,1,0,0,7,0,0,0,0,0,0,2,81,119.6,3.0,38.0,16.1,0,2,1
6,158074.jpg,Gabriel,3,u,158074,Gabriel Armando,de Abreu,5,Joined Valencia on 18/8,50,2017-07-12T10:31:11Z,0,0,0.0,0.0,0,0,0,0,0,0,0.1,0.0,2365,368,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
7,98745.jpg,Bellerín,3,a,98745,Héctor,Bellerín,2,,59,2018-03-07T19:31:17Z,100,100,1.0,22.4,-1,0,1,0,0,2,10.3,5.8,960552,748052,0,0,0,0,0,0,132,6,3.8,6.8,4.8,0,3050,2,4,12,44,0,0,0,5,0,0,11,656,554.0,561.0,484.0,160.1,0,2,1
8,42427.jpg,Gibbs,35,a,42427,Kieran,Gibbs,3,,50,2018-02-12T20:01:19Z,100,100,0.9,17.2,0,0,0,0,0,0,0.4,4.3,48209,54299,0,0,0,0,0,0,86,0,2.6,3.8,4.5,0,2826,0,2,8,44,0,0,0,3,0,0,2,483,484.6,359.6,131.0,97.7,0,2,19
9,80254.jpg,Jenkinson,3,u,80254,Carl,Jenkinson,25,Season-long loan to Birmingham,45,2017-08-22T14:57:50Z,0,0,0.0,0.0,0,0,0,0,0,0,0.2,0.0,13677,751,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
10,38411.jpg,Monreal,3,a,38411,Nacho,Monreal,18,,57,2018-02-25T19:31:19Z,100,100,0.1,22.8,2,0,-2,0,0,3,8.0,0.5,1476893,1603695,0,0,0,0,0,0,130,1,4.6,1.5,3.2,0,2241,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305.0,124.0,0,2,1
11,156074.jpg,Holding,3,a,156074,Rob,Holding,16,,44,2017-11-05T19:31:15Z,100,100,0.4,6.1,-6,0,6,0,0,0,0.7,1.8,111188,29403,0,0,0,0,0,0,27,7,2.3,2.8,1.2,0,819,0,1,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24.0,27.5,0,2,1
12,69140.jpg,Mustafi,3,a,69140,Shkodran,Mustafi,20,,54,2018-03-11T16:01:19Z,100,100,0.5,20.2,-1,0,1,0,0,2,4.2,2.5,492651,593921,0,0,0,0,0,0,109,9,4.0,3.5,1.6,0,2272,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202.0,117.0,0,2,1
13,111457.jpg,Kolasinac,3,a,111457,Sead,Kolasinac,31,,58,2018-04-29T17:01:20Z,100,100,0.9,18.6,-2,0,2,0,0,2,6.1,5.3,1171952,833275,0,0,0,0,0,0,108,6,4.0,6.3,4.0,0,2146,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404.0,118.3,0,2,1
14,37265.jpg,Sánchez,1,a,37265,Alexis,Sánchez,7,,114,2018-05-04T19:31:17Z,100,100,0.2,13.3,-6,0,6,0,0,4,3.0,2.8,624183,633531,0,0,0,0,0,0,152,3,4.9,3.8,3.0,0,2546,9,10,11,32,0,0,1,5,0,0,13,515,823.2,1155.2,1281.0,326.1,0,3,12
15,20467.jpg,Walcott,11,a,20467,Theo,Walcott,11,,66,2018-05-13T14:01:20Z,50,100,0.3,9.4,-9,0,9,0,0,1,2.1,2.3,640298,606058,0,0,0,0,0,0,62,1,3.1,1.1,2.0,0,1214,3,3,4,17,0,0,0,2,0,0,3,226,316.6,234.9,406.0,95.9,0,3,7
